CueNumber,PumpTrackID,CueTitle,Duration,In,Out,Use,Artist,ComposerAffiliation,Publisher,RecordLabel,GettyID
1,,FEMME_FATALE_MH_88_1400_48KHZ.AIFF,:54,01:00:14:19,01:01:09:05,BI,,,,,
2,,DANCE_CRASHER_A_MH_78_1200_48KHZ.AIFF,:29,01:01:39:09,01:02:08:15,BI,,,,,
3,,GLIMMER_AND_SHIMMER_MH_88_1500_48KHZ.AIFF,01:39,01:02:08:15,01:03:47:21,BI,,,,,
4,,GROUP_HUG_MH_36_700_48KHZ.AIFF,:22,01:03:47:21,01:04:09:22,BI,,,,,
5,,COME_BACK_TO_ME_MH_62_200_48KHZ.AIFF,:34,01:04:33:13,01:05:07:22,BI,,,,,
6,,THE_IN_CROWD_MH_78_2600_48KHZ.AIFF,:07,01:05:07:22,01:05:15:20,BI,,,,,
7,,TURN_THE_MUSIC_UP_A_KPM_767_1000_44KHZ.WAV,:40,01:05:15:20,01:05:55:24,BI,,,,,
8,,PAST_MIDNIGHT_A_KPM_767_700_44KHZ.WAV,01:05,01:06:04:01,01:07:09:03,BI,,,,,
9,,STOP_DROP_N_ROLL_BB14_100_44KHZ.WAV,:26,01:07:09:03,01:07:35:13,BI,,,,,
10,,SOUL_SWASHBUCKLER_A_KPM_767_1600_44KHZ.WAV,:52,01:07:42:01,01:08:34:05,BI,,,,,
11,,ALL_THE_GIRLS_A_KPM_767_1500_44KHZ.WAV,:33,01:08:42:09,01:09:16:00,BI,,,,,
12,,PUMP_IT_MH_88_1100_48KHZ.AIFF,:55,01:09:23:20,01:10:19:12,BI,,,,,
13,,BURN_IT_DOWN_A_KPM_767_1100_44KHZ.WAV,:53,01:10:27:21,01:11:21:13,BI,,,,,
14,,I_CAN_DO_THIS_VOX_KPM_767_200_44KHZ.WAV,:21,01:11:29:16,01:11:51:01,BI,,,,,
15,,BOUNCE_LIKE_THIS_MH_66_1500_48KHZ.AIFF,:08,01:12:39:16,01:12:47:24,BI,,,,,
16,,LOVE_LIKE_THIS_A_KPM_767_1300_44KHZ.WAV,:11,01:12:47:24,01:12:59:20,BI,,,,,
17,,SHOOT_ME_DOWN_A_MH_42_400_48KHZ.AIFF,:50,01:13:04:17,01:13:54:21,BI,,,,,
18,,SHOOT_ME_DOWN_A_MH_42_400_48KHZ.AIFF,:08,01:14:27:23,01:14:36:03,BI,,,,,
19,,WHAT_THE_FUNKS_ABOUT_A_MH_69_500_48KHZ.AIFF,:55,01:14:36:03,01:15:31:22,BI,,,,,
20,,MOVE_TO_THE_BEAT_A_KPM_804_300_44KHZ.WAV,:34,01:15:39:18,01:16:13:21,BI,,,,,
21,,EVERYBODY_IN_THE_PLACE_60_JM_21_2300_48KHZ.AIFF,:24,01:16:44:24,01:17:08:24,BI,,,,,
22,,KPM_KPM__681_2501.WAV,:05,01:17:17:00,01:17:22:05,BI,,,,,
23,,ALL_MY_FRIENDS_MH_78_1400_48KHZ.AIFF,:09,01:17:22:05,01:17:31:19,BI,,,,,
24,,IM_LIKE_A_FOOL_A_KPM_812_100_48KHZ.AIFF,:31,01:17:31:19,01:18:03:18,BI,,,,,
25,,IM_LIKE_A_FOOL_A_KPM_812_100_48KHZ.AIFF,:07,01:18:15:14,01:18:22:17,BI,,,,,
26,,JUST_GO_A_KPM_767_1400_44KHZ.WAV,:07,01:18:22:17,01:18:30:01,BI,,,,,
27,,MR_BOJANGLES_KPM_815_700_48KHZ.AIFF,:06,01:19:14:08,01:19:20:24,BI,,,,,
28,,CAPO_CUTS_B_MH_69_5600_48KHZ.AIFF,:20,01:19:20:24,01:19:41:18,BI,,,,,
29,,BATTLEGROUND_A_MH_69_1500_48KHZ.AIFF,01:01,01:19:50:03,01:20:52:01,BI,,,,,
30,,LADIES_ON_THE_FLOOR_B_MH_69_4300_48KHZ.AIFF,:19,01:21:15:04,01:21:34:12,BI,,,,,
31,,BIG_GAME_KPM_747_3600_44KHZ.WAV,01:15,01:21:34:12,01:22:50:03,BI,,,,,
32,,LIKE_DIS_LIKE_DAT_A_MH_69_200_48KHZ.AIFF,:01,01:22:50:03,01:22:50:05,BI,,,,,
33,,LIKE_DIS_LIKE_DAT_A_MH_69_200_48KHZ.AIFF,:02,01:22:55:02,01:22:57:11,BI,,,,,
